0,#,Account,Peer followers
11,11.,"Amia Srinivasan@amiasrinivasanConfirming that all ravens are black, one non-black non-raven at a time.London, Oxfordusers.ox.ac.uk/~corp1468/The_…14 years on TwitterRecent tweets: 9% new, 66% replies, 16% retweets, 9% quotesOn 257 user lists33,375 followers",437
12,12.,"Prof. Catarina Dutilh Novaes 😷 💙@cdutilhnovaesPhilosopher  at @VuPhilosophy Amsterdam & @ArchePhilosophy St. Andrews | PI of ERC-COG project 'Social Epistemology of Argumentation’ @erc_sea (she/her) 🇧🇷🇳🇱Netherlandscdutilhnovaes.comGoogle Scholar page11 years on TwitterRecent tweets: 8% new, 83% replies, 1% retweets, 8% quotesOn 135 user lists6,115 followers",436
13,13.,"Danielle M. Wenner@DanielleWennerAssociate  Professor of Philosophy and Associate Director, Center for Ethics &  Policy @CMU_CEP, Carnegie Mellon University. Okra stan account. (she/her/Dr)Pittsburgh, PAdaniellewenner.comGoogle Scholar page6 years on TwitterRecent tweets: 11% new, 59% replies, 16% retweets, 14% quotesOn 97 user lists5,295 followers",433
14,14.,"Marylin Delgado@philosophypillsAssociate  Researcher. Former Associate Professor of Philosophy. Author. Ethics. Philosophy of Action. Intersection of Epistemology and Ethics. aretea.esmarylindelgado.com9 years on TwitterRecent tweets: 21% new, 35% replies, 37% retweets, 8% quotesOn 210 user lists8,188 followers",432
15,15.,"Rachel Handley 🏳️‍🌈@_RachelHandleyTeaching  Fellow @TCDphilosophy, poet, SF writer. Short story collection: Possible Worlds and Other Stories (Sept 2022, @ellipsisimprint) #bivisibility they/sheDublin, Irelandlinktr.ee/_rachelhandley11 years on TwitterRecent tweets: 15% new, 65% replies, 15% retweets, 4% quotesOn 89 user lists6,651 followers",421
16,16.,"Laura D'Olimpio@Lauradol4Philosopher  interested in aesthetics, ethics & education. Associate professor of philosophy of education @unibirmingham Co-editor @JournalP4CUniversity of Birminghambirmingham.ac.uk/staff/profiles…Google Scholar page9 years on TwitterRecent tweets: 31% new, 33% replies, 31% retweets, 4% quotesOn 208 user lists4,895 followers",415
17,17.,"Sarah Wieten@SarahWietenphilosopher of medicine, clinical ethicist, pedagogy enthusiast, plant lady 'pretty decent at puns' She/HerDurham, Englandscholar.google.com/citations?hl=e…Google Scholar page9 years on TwitterRecent tweets: 20% new, 65% replies, 11% retweets, 4% quotesOn 50 user lists4,243 followers",408
18,18.,"Rima Basu@_rimabasuPhilosopher. Ethics. Epistemology. Race. In my expert opinion everything is terrible (except dogs).Claremont, CArimabasu.comGoogle Scholar page12 years on TwitterRecent tweets: 29% new, 30% replies, 41% retweets, 1% quotesOn 33 user lists3,560 followers",407
19,19.,"Emily Herring@EtheHerringWriting  a book about Henri Bergson for @BasicBooks - editor & writer for hire - also tweeting from @AmisDeBergson - Radiohead cured my chronic anxiety - she/herParis, Francewellreadherring.com10 years on TwitterRecent tweets: 20% new, 43% replies, 27% retweets, 10% quotesOn 113 user lists12,956 followers",404
20,20.,"Jamie@euthyphronot a philosopher. (she/her) 🌹9 years on TwitterRecent tweets: 14% new, 50% replies, 31% retweets, 5% quotesOn 64 user lists6,897 followers",401
21,21.,"rebecca roache@rebecca_roachePhilosophical rent-a-gob. Podcasting over at @AcademicImp. She/her or they/them.Oxford | Hwlfforddacademicimperfectionist.comGoogle Scholar page11 years on TwitterRecent tweets: 22% new, 55% replies, 20% retweets, 3% quotesOn 215 user lists6,800 followers",395
22,22.,"Audrey Yap@audreyseokheanAssociate  Prof in Philosophy at UVic, but always on the verge of running away to join the circus. In favour of dogs, feminism, coffee, martial arts. she/her.8 years on TwitterRecent tweets: 16% new, 73% replies, 7% retweets, 4% quotesOn 45 user lists4,115 followers",392
23,23.,"Carrie Jenkins@carriejenkins🔮Philosophy's  crazy ex-girlfriend. Author of Sad Love and Victoria Sees It. Landscape  painter on unceded land. Cymraeg. She/they/ddraig 🏳️‍🌈 🏴󠁧󠁢󠁷󠁬󠁳󠁿carriejenkins.netGoogle Scholar page13 years on TwitterRecent tweets: 18% new, 43% replies, 32% retweets, 8% quotesOn 291 user lists7,439 followers",389
24,24.,"Patricia Churchland@patchurchlandI  am a neurophilosopher, so work at the interface of philosophy, neuroscience & psychology. On questions like where do values come from, what is self & awarene?San Diego (UCSD)patriciachurchland.com11 years on TwitterRecent tweets: 18% new, 11% replies, 65% retweets, 6% quotesOn 609 user lists21,459 followers",386
25,25.,"Krista K. Thomason@kkthomasonPhilosophy  prof at Swarthmore. Fellow at the National Humanities Center 21-22. Author of Naked: The Dark Side of Shame and Moral Life. Metal chick. First-gen.Swarthmore, PAkristakthomason.weebly.comGoogle Scholar page7 years on TwitterRecent tweets: 18% new, 32% replies, 40% retweets, 10% quotesOn 62 user lists3,136 followers",373
26,26.,"Elizabeth Picciuto@epicciutoWriter, editor, mom of three—one with Cri du Chat Syndrome. Philosophy PhD. Fan of gardens. ✡️ Rooted cosmopolitan. #3A!Extremely Long Island13 years on TwitterRecent tweets: 5% new, 68% replies, 19% retweets, 8% quotesOn 257 user lists16,513 followers",370
27,27.,"Natalie Alana Ashton@Natalanphilosopher working on knowledge, oppression & social media @stiruniphil. good politics. ''nervous but brave''. she/her.Sheffield, Englandnataliealanaashton.notion.site12 years on TwitterRecent tweets: 5% new, 59% replies, 21% retweets, 15% quotesOn 79 user lists4,641 followers",370
28,28.,"Katrina Sifferd@KSifferdPhilosopher  @elmhurstu interested in criminal law, the mind, responsibility, and punishment. Proud Chicagoan. Lapsed lawyer. Co Ed-in-Chief of @NeuroethicsJ.Chicago, ILpleasandexcuses.netGoogle Scholar page9 years on TwitterRecent tweets: 30% new, 33% replies, 27% retweets, 10% quotesOn 109 user lists3,697 followers",366
29,29.,"Dr Heather Browning@zoophilosophyScientist  & Philosopher | Former zookeeper and welfare officer, now researcher at LSE specialising in animal sentience, welfare, and ethics |  Partner @wrwveitLondon; Sydney; Canberraheatherbrowning.netGoogle Scholar page2 years on TwitterRecent tweets: 18% new, 38% replies, 41% retweets, 3% quotesOn 60 user lists8,646 followers",365
30,30.,"Cailin O'Connor@cailinmeisterPhilosopher  and applied mathematician at UCI. Author of 'The Misinformation Age' and 'The Origins of Unfairness'. My Erdos-Bacon number is 7. she/herIrvine, CAcailinoconnor.comGoogle Scholar page4 years on TwitterRecent tweets: 19% new, 63% replies, 15% retweets, 3% quotesOn 119 user lists6,777 followers",363
31,31.,"Dr. Rebecca Bamford@RebeccaBamfordPhilosopher. Ailurophile. Alien. Occasionally cat furniture. Book: bit.ly/39XmsnL Edited book: bit.ly/3onVSN7 She/her. Views individual.Belfast, Northern Irelandrebeccabamford.comGoogle Scholar page12 years on TwitterRecent tweets: 32% new, 30% replies, 33% retweets, 5% quotesOn 115 user lists3,561 followers",362
32,32.,"Agnes Callard@AgnesCallardPhilosopher, UChicago Book: is.gd/Ze88Za Column: is.gd/WHyOeh NYT: is.gd/UonlHb youtube: is.gd/kKW7Hd podcast: mindsalmostmeeting.comphilosophy.uchicago.edu/faculty/a-call…4 years on TwitterRecent tweets: 14% new, 69% replies, 8% retweets, 10% quotesOn 371 user lists27,763 followers",360
33,33.,"worms cited@christapetersoPhilosophy PhD student. very powerful. love birds (she/her) 🥤🍉😌11 years on TwitterRecent tweets: 8% new, 57% replies, 26% retweets, 9% quotesOn 234 user lists44,199 followers",358
34,34.,"Regina Rini@riniregCanada Research Chair in Philosophy @yorkuniversity 'Morals of the Story' columnist @TheTLS words: @nytimes @latimes @aeonmag new book: bit.ly/3ow58fEToronto, Ontario3 years on TwitterRecent tweets: 10% new, 52% replies, 19% retweets, 18% quotesOn 89 user lists5,269 followers",350
35,35.,"flo 🌷🐝@morallawwithinphilosophy phd student at harvard // kantian // meat is murdershe/her5 years on TwitterRecent tweets: 31% new, 47% replies, 17% retweets, 6% quotesOn 114 user lists16,492 followers",346
36,36.,"Dr. Myisha Cherry 🏳️‍🌈@myishacherryPhilosopher  of Emotion @UCR| Bks:Moral Psych of Anger;UnMuted; The Case For Rage; Failures of Forgiveness'23| Host @unmutepodcast| Contribute @theNewPhilSouthern CAmyishacherry.org14 years on TwitterRecent tweets: 9% new, 49% replies, 21% retweets, 20% quotesOn 107 user lists5,499 followers",345
37,37.,"Clare Moriarty@quiteclareDr: early modern phil of maths. Writing about maths fights, Berkeley, Maclaurin etc... IRC postdoc @TCD phil 🏊‍♀️🇮🇪🐑🌱 -she-Dublin via London via Dublin5 years on TwitterRecent tweets: 13% new, 65% replies, 14% retweets, 8% quotesOn 52 user lists3,388 followers",345
38,38.,"“Boiling Heart’s Blood” Cassie@Angry_CassieThinkin’  about pubs, Aristotle, tech, & virtue education. Philosophy PhD Candidate. Director of @theiowalyceum. @CogtweetoSeries with @philoso_foster (she/her)Iowa City, IAsites.google.com/view/cassiefin…3 years on TwitterRecent tweets: 14% new, 63% replies, 17% retweets, 7% quotesOn 73 user lists6,741 followers",338
39,39.,"Fiona Macpherson@ProfMacphersonPhilosopher  of Mind and Perception, Professor @UofG, Director of @UofGCSPE, President @BritishPhiloso1, Member of @ahrcpress & @acad_euro, Fellow of @news_RSEgla.ac.uk/schools/humani…8 years on TwitterRecent tweets: 20% new, 31% replies, 43% retweets, 8% quotesOn 85 user lists4,526 followers",337
40,40.,"Carolyn Dicey Jennings@diceyjenningsphilosopher  who hangs with scientists; obsessed with 📣attention📣; improving academic philosophy is the side hustle (with alt @APDAtweets); she/herMerced, Californiafaculty.ucmerced.edu/cjennings3/Google Scholar page2 years on TwitterRecent tweets: 12% new, 57% replies, 22% retweets, 8% quotesOn 44 user lists2,119 followers",337
41,41.,"jender pope@philoso_fosterphilosophy  phd student. co-founder and organizer of @CogtweetoSeries with @Angry_Cassie. cat mom to Eddy, Eliot, and Rho (“the boyos”). she/her. 💖💜💙WVU➡️USCfosterphilosophy.com10 years on TwitterRecent tweets: 15% new, 53% replies, 21% retweets, 12% quotesOn 97 user lists14,000 followers",334
42,42.,"Lynn Chiu@drlynnchiu#Philbio-er staying with the trouble。#Scicomm with a #philsci flair。 Niche-constructing. Gut-minding. Multispecies raving. Mendeling around UniVie @PhilScicommViennalynn-chiu.comGoogle Scholar page6 years on TwitterRecent tweets: 10% new, 49% replies, 35% retweets, 6% quotesOn 70 user lists4,572 followers",333
43,43.,"Sarah Fine@DrSJFineNow @CambridgePhilos. Fellow @CorpusCambridge.tinyurl.com/y5w8jmns5 years on TwitterRecent tweets: 16% new, 26% replies, 51% retweets, 6% quotesOn 83 user lists6,095 followers",332
44,44.,"Sabina Leonelli@SabinaLeonelliempirical philosopher of science | co-director Egenis Centre | editor @HPLSjournal | PI opensciencestudies.eu @StudiesOpen datastudies.eu | 💚most forms of lifeExeter, UKsocialsciences.exeter.ac.uk/sociology/rese…Google Scholar page9 years on TwitterRecent tweets: 12% new, 53% replies, 13% retweets, 22% quotesOn 176 user lists7,449 followers",324
45,45.,"Fabienne Peter@annefabpeterPhilosophy  professor, @philoswarwick. Author of Democratic Legitimacy. Research: political legitimacy, moral action, moral and political epistemology. She/they.warwick.ac.uk/fac/soc/philos…Google Scholar page2 years on TwitterRecent tweets: 12% new, 21% replies, 59% retweets, 8% quotesOn 35 user lists2,350 followers",322
46,46.,"Daisy Dixon@daisyldixon◼️Philosopher  of art | ethical curation, dangerous art | Postdoc Research Fellow @Peterhouse_cam @Cambridge_Uni | painter, sound artist | ig:daisylouisedixon◼️Cambridge, UKpet.cam.ac.uk/people/dr-dais…9 years on TwitterRecent tweets: 26% new, 65% replies, 6% retweets, 3% quotesOn 51 user lists11,809 followers",318
47,47.,"Emily Thomas@emilytwritesPhilosopher  of time, space, travel, arcane books. Associate Prof at Durham. Author of Absolute Time (2018), The Meaning of Travel (2020). Defender of armchairs.Durham, Englandemilythomaswrites.co.uk4 years on TwitterRecent tweets: 48% new, 34% replies, 16% retweets, 2% quotesOn 84 user lists5,401 followers",310
48,48.,"Dr. Samantha Brennan@SamJaneBPhilosopher, feminist, ethicist, cyclist. Dean, College of Arts, University of Guelph. My pronouns are she/her.🌈Guelph, OntarioGoogle Scholar page13 years on TwitterRecent tweets: 57% new, 19% replies, 20% retweets, 4% quotesOn 91 user lists3,737 followers",307
49,49.,"Kathrine Cuccuru@KathrineCuccuruPhilosopher. Academic Website: kathrinecuccuru.wordpress.com Philosophy Blog for all: howtobeaphilosopher.wordpress.comkathrinecuccuru.wordpress.com6 years on TwitterRecent tweets: 36% new, 25% replies, 29% retweets, 10% quotesOn 40 user lists1,908 followers",307
50,50.,"Susanna Schellenberg@Schellenberg_1Distinguished Professor of Philosophy & Cogsci @Guggenheim Fellow, Secular Humanist, @AI @Neuroscience, The Unity of Perception tinyurl.com/2p8ttuux New York, NYsusannaschellenberg.orgGoogle Scholar page1 year on TwitterRecent tweets: 32% new, 55% replies, 8% retweets, 5% quotesOn 18 user lists1,761 followers",305
51,51.,"Katherine Hawley@HawleyKatherinePhilosopher at the University of St Andrewskatherinehawley.orgGoogle Scholar page6 years on Twitter until last tweet (2021-Mar-09)Recent tweets: 10% new, 45% replies, 35% retweets, 10% quotesOn 58 user lists3,090 followers",299
52,52.,"Doctor Logic@SaraLUckelman#Logician, #Onomast, #Medievalist, #AcademicMama, #Author, #Immigrant, founder of SFFReviews.com/@shortSFFRev and @EllipsisImprint. Own views. Robot.Durham, Englandsluckelman.webspace.durham.ac.ukGoogle Scholar page7 years on TwitterRecent tweets: 14% new, 69% replies, 15% retweets, 2% quotesOn 139 user lists5,330 followers",295
53,53.,"Zara B@zaranosaurtired | some kind of philosopher | founder/director @AAT_transcribes | prev @phdisabled | she/her9 years on TwitterRecent tweets: 18% new, 41% replies, 31% retweets, 10% quotesOn 198 user lists8,932 followers",293
54,54.,"Kathleen Creel@KathleenACreelEmbedded  EthiCS Fellow @StanfordHAI & @StanfordEthics. Machine learning & scientific knowledge; ethics of automated decision-making.kathleenacreel.comGoogle Scholar page3 years on TwitterRecent tweets: 4% new, 51% replies, 38% retweets, 8% quotesOn 30 user lists2,360 followers",293
55,55.,"Kristin SW@PhilosoKikiPhilosophy, metaphysics, pedagogy11 years on TwitterRecent tweets: 12% new, 79% replies, 7% retweets, 2% quotesOn 28 user lists2,490 followers",289
56,56.,"Jennifer Morton@jennifermmortonphilosophy professor @Penn, author of Moving Up Without Losing Your Way tinyurl.com/66vh2xfp, Peruana, first-gen, she/herPhilly jennifermmorton.com12 years on TwitterRecent tweets: 18% new, 57% replies, 15% retweets, 11% quotesOn 34 user lists3,216 followers",288
57,57.,"Michela Massimi@p_realismPhilosopher of Science, University of EdinburghEdinburgh, Scotlandmichelamassimi.com6 years on TwitterRecent tweets: 6% new, 41% replies, 51% retweets, 3% quotesOn 84 user lists3,575 followers",284
58,58.,"Jennifer A. Frey@jennfreyPhilosopher  @UofSC, fellow @HumanEcologyCUA, podcaster @eudaimoniapod. Mother to many. Defender of philosophia perennis. Frequently argues w/ @FreyChristopher.Columbia, SCjenniferannfrey.com11 years on TwitterRecent tweets: 6% new, 47% replies, 43% retweets, 4% quotesOn 186 user lists21,533 followers",283
59,59.,"Lizard Ventham 🦎@LizardVenthamPhilosopher. Ethics, moral psychology. Working on an empathy project. Inclusive feminist. I also like board games. She/her7 years on TwitterRecent tweets: 30% new, 25% replies, 39% retweets, 6% quotesOn 24 user lists1,892 followers",280
60,60.,"Katherine Furman@katfurmanPhilosophy, Politics and Economics Lecturer @LiverpoolPhilosLiverpool, Englandkatherinefurman.com11 years on TwitterRecent tweets: 24% new, 67% replies, 5% retweets, 4% quotesOn 29 user lists1,980 followers",274
61,61.,"Rachel Fraser@rachelefraserPhilosopher, Oxford. Clever, destructive, supercilious, ignorant. Views mine. she/herrachelelizabethfraser.com3 years on TwitterRecent tweets: 20% new, 65% replies, 7% retweets, 7% quotesOn 33 user lists4,266 followers",268
62,62.,"Gillian Russell@larkofadefinitephilosopher @ Dianoia Institute and St AndrewsChapel Hill, NCgillianrussell.netGoogle Scholar page13 years on TwitterRecent tweets: 62% new, 25% replies, 13% retweets, 0% quotesOn 85 user lists2,621 followers",267
63,63.,"Angela Potochnik@APotochnikPhilosopher  at the University of Cincinnati, Director of @UCEngageScience. Books: Idealization and the Aims of Science, Recipes for Science. she/herCincinnati, OHangelapotochnik.comGoogle Scholar page8 years on TwitterRecent tweets: 7% new, 43% replies, 33% retweets, 16% quotesOn 43 user lists2,423 followers",265
64,64.,"Jana Mohr Lone@JanaMohrLonePhilosopher,  educator & advocate for children. Executive Director of PLATO &  Affiliate Faculty in Philosophy at UW. Her most recent book is Seen and  Not Heard.Seattle, Washingtonphilosophyforchildren.org11 years on TwitterRecent tweets: 89% new, 2% replies, 10% retweets, 0% quotesOn 97 user lists4,648 followers",264
65,65.,"Chiara Russo Krauss 🇪🇺🇮🇹@russokraussProfessor in History of Philosophy at Federico II University, Naples (German philosophy of XIX; Neokantianism)Napoli, Campaniadocenti.unina.it/chiara.russokr…2 years on TwitterRecent tweets: 25% new, 61% replies, 9% retweets, 6% quotesOn 66 user lists4,528 followers",264
66,66.,"Carissa Véliz@CarissaVelizAssociate  Professor of Philosophy @UniofOxford. Author of #PrivacyIsPower (An @TheEconomist Book of the Year. @PenguinUKBooks). #Privacy #AIEthicspenguin.co.uk/books/1120394/…10 years on TwitterRecent tweets: 36% new, 30% replies, 29% retweets, 5% quotesOn 345 user lists16,382 followers",260
67,67.,"Dr. Juliette@FerryDaniniPhilosopher  of medicine/science/ethics. Postdoc @frsFNRS @UCLouvain_be, PhD from Sorbonne Univ. She/her 📜🖊️ J'écris un livre pr @EditionsStockBruxellesjulietteferrydanini.comGoogle Scholar page9 years on TwitterRecent tweets: 10% new, 70% replies, 15% retweets, 5% quotesOn 181 user lists21,750 followers",258
68,68.,"Kathryn Lindeman@kmlindemAssistant Professor of Philosophy at the University of South Carolina. Metaethics. Philosophy of Law. #primecatcontent. she/herColumbia, SCklindeman.com13 years on TwitterRecent tweets: 14% new, 71% replies, 9% retweets, 6% quotesOn 51 user lists2,079 followers",258
69,69.,"Ali Boyle@aliboyle6Philosopher.  Thinking about animal minds, artificial intelligence, memory, science and living things. Feminist. Cat enthusiast. 🐈 she/heraliboyle.com6 years on TwitterRecent tweets: 6% new, 65% replies, 23% retweets, 4% quotesOn 32 user lists1,791 followers",252
70,70.,"Pelagia@Ljiljana1972Professor of philosophy, a psychologist by adoption & a guest among Byz historians Becoming a nun is not off the table yetFaculty of Philosophy, University of Belgrade, Serbia5 years on TwitterRecent tweets: 8% new, 65% replies, 9% retweets, 17% quotesOn 79 user lists7,184 followers",250
71,71.,"Joey Pollock@Joey_K_PollockPhilosopher  at UiO. Working on mental content, semantic holism, communication, testimony, disagreement, conceptual engineering. PI for @mod_comm. (she/her)Oslo, Norwayjoeykpollock.net5 years on TwitterRecent tweets: 22% new, 57% replies, 21% retweets, 0% quotesOn 24 user lists1,384 followers",250
72,72.,"susanna siegel@siegel_susannaphilosopher at Harvard * perception and polities * philosophy of journalism * books i wrote: susannasiegel.net/research/books *Boston, MAsusannasiegel.net1 year on TwitterRecent tweets: 20% new, 29% replies, 36% retweets, 15% quotesOn 24 user lists2,107 followers",249
73,73.,"Fleur Jongepier@fleurjongepierAll-round  philosopher @Radboud_Uni bringing creativity & sentimentality back into philosophy one essay at a time ➖ NWO Veni ➖ co-chair @RadboudYA➖ NL/ENG ➖📷⛰🧗☜fleurjongepier.nl8 years on TwitterRecent tweets: 12% new, 65% replies, 9% retweets, 14% quotesOn 77 user lists4,228 followers",247
74,74.,"Hannah Kim@thisishannahkimPhilosophy  prof @Macalester / Executive Editor, SEP / words in @LAtimes @Catapultstory @PublicSeminar @StanfordDaily + / nature of fiction, arts, 🇰🇷🇰🇵hannahkimphilosophy.comUnder 1 year on TwitterRecent tweets: 16% new, 51% replies, 27% retweets, 7% quotesOn 23 user lists2,133 followers",246
75,75.,"Lucy O'Brien@LucyFOBrienPhilosopher at UCL.LondonGoogle Scholar page13 years on TwitterRecent tweets: 6% new, 39% replies, 51% retweets, 4% quotesOn 36 user lists1,567 followers",242
76,76.,"Jaime Valentine@bioethicsbarbieResearch Ethics & Equity. History of Human Subjects Research. thoughts are (unfortunately) mine. she/her #BLMSt Louis, MO10 years on TwitterRecent tweets: 27% new, 36% replies, 33% retweets, 4% quotesOn 27 user lists4,119 followers",240
77,77.,"Jenny Judge@judge_jenPhilosophy,  music, various things in between. Formerly Cambridge (music PhD), now NYU (philosophy PhD underway). Words @ Aeon, OneZero, the Guardian &c.New York / Irelandjennyjudge.net10 years on TwitterRecent tweets: 11% new, 87% replies, 1% retweets, 0% quotesOn 87 user lists2,862 followers",235
78,78.,"Colleen Murphy@drcolleenmurphyRoger & Stephany Joslin Prof @UIllinoisLaw | Acting Exec Director @IGIAtillinois | @HRIatIllinois-@MellonFdn Legal Humanities Fellow | Tweets mineChampaign, ILdrcolleenmurphy.comGoogle Scholar page6 years on TwitterRecent tweets: 32% new, 21% replies, 39% retweets, 6% quotesOn 128 user lists5,003 followers",233
79,79.,"Dr. Janet D. Stemwedel, PhD 🏳️‍🌈@docfreeridePhilosopher, lapsed chemist. Previously: Forbes, Scientific American, ScienceBlogs. Views mine alone. forbes.com/sites/janetste… (she/her)San Francisco Bay Areakeys.mailvelope.com/pks/lookup?op=…13 years on TwitterRecent tweets: 3% new, 9% replies, 89% retweets, 0% quotesOn 723 user lists14,789 followers",231
80,80.,"Christine James@cajames4Philosophy Professor, Theorist and Occasional PolymathSoutheast by way of Chicagomypages.valdosta.edu/chjames/Google Scholar page11 years on Twitter until last tweet (2020-Dec-29)Recent tweets: 64% new, 2% replies, 34% retweets, 1% quotesOn 107 user lists2,404 followers",230
81,81.,"dPhilosopher@tPhilosophiaPhenomenology, Existentialism, Feminist Philosophy, Poststructuralism & Critical Theory. #publicphilosophy or bustOakland, CA12 years on TwitterRecent tweets: 29% new, 19% replies, 42% retweets, 11% quotesOn 247 user lists8,895 followers",229
82,82.,"Jessie Munton (she / her)@alabalawhiskeyPhilosopher working mainly on perception and bias. Lecturer at Cambridge University.jessiemunton.wixsite.com/philosophy10 years on TwitterRecent tweets: 28% new, 49% replies, 19% retweets, 6% quotesOn 27 user lists1,617 followers",229
83,83.,"Heather Widdows@ProfWiddowsPro-Vice-Chancellor (Research), occasional philosopher, University of Birmingham. Co-lead of beautydemands.blogspot.com and everydaylookism.bham.ac.ukbirmingham.ac.uk/staff/profiles…Google Scholar page8 years on TwitterRecent tweets: 8% new, 10% replies, 76% retweets, 6% quotesOn 42 user lists3,086 followers",228
84,84.,"Amanda Bryant@amandakbryantPhilosopher  interested in metametaphysics, epistemology of metaphysics, metaphysics  of science and scientific metaphysics, naturalism and scientism.Torontoamandakbryant.comGoogle Scholar page7 years on TwitterRecent tweets: 16% new, 65% replies, 19% retweets, 1% quotesOn 58 user lists2,551 followers",227
85,85.,"Carol Hay@DrCarolHayFeminist, philosopher at @UMassLowell, author of THINK LIKE A FEMINIST (@wwnorton). She/her. 🏳️‍🌈 https://t.co/cfc4cEDzO4…Bostoncarolhay.org8 years on TwitterRecent tweets: 44% new, 30% replies, 21% retweets, 4% quotesOn 30 user lists2,150 followers",227
86,86.,"Shannon Vallor@ShannonVallorDirector, @CentreTMFutures at @UoE_EFI, philosopher @UoE_Philosophy and tech/AI ethicist. She/her. All views my own.Edinburghed.ac.uk/profile/shanno…Google Scholar page11 years on TwitterRecent tweets: 17% new, 40% replies, 28% retweets, 15% quotesOn 445 user lists14,898 followers",226
87,87.,"Haixin Dang@haicinnamon'hi-SIN'; Assistant Professor @unomaha; philosophy of science, social epistemology, research ethics (she/her)Omaha, NEhaixindang.comGoogle Scholar page12 years on TwitterRecent tweets: 9% new, 47% replies, 41% retweets, 2% quotesOn 25 user lists1,448 followers",225
88,88.,"Donatella Donati@donatelladoPhilosophy research fellow @univaq. Formerly PhD student and teaching assistant @UniofNottingham.L'Aquila10 years on TwitterRecent tweets: 21% new, 22% replies, 56% retweets, 1% quotesOn 67 user lists2,262 followers",224
89,89.,"Jenny Saul@JennySaul1Professor of Social and Political Philosophy of Language at the University of Waterloo. American and British, living in Canada.Waterloo, Ontariouwaterloo.ca/scholar/j3saul9 years on TwitterRecent tweets: 10% new, 65% replies, 23% retweets, 4% quotesOn 18 user lists1,293 followers",224
90,90.,"Alexandra Gustafson@alexxgussPhilosophy  PhD Candidate @UofT. Phenomenology of love. All about mental health. Why it can be sublime to love someone who doesn't love you back: psyche.coToronto, Ontarioalexandragustafson.orgUnder 1 year on TwitterRecent tweets: 40% new, 53% replies, 5% retweets, 2% quotesOn 32 user lists3,794 followers",222
