0,#,Account,Peer followers
13,13.,"Guy Longworth@GuyLongworthNaive,  nonstop, peep-peep twitter of chicks in dismal crates late, late at night, on a desolate frost-bedimmed station platform @philoswarwick @aristotweetsgoo.gl/z2JK5V11 years on TwitterRecent tweets: 21% new, 59% replies, 19% retweets, 1% quotesOn 329 user lists13,329 followers (follows 0.77 accounts per follower)",573
14,14.,"C Thi Nguyen@add_hawkPhilosophy professor. I write about games, trust, art, intimacy, and echo chambers. My new book is GAMES: AGENCY AS ART: amzn.to/2xIaW06Salt Lake City, UTobjectionable.net6 years on TwitterRecent tweets: 8% new, 83% replies, 7% retweets, 2% quotesOn 260 user lists21,584 followers",565
15,15.,"Tim Crane@timcrane102Professor  of Philosophy & Pro-Rector for Teaching and Learning, CEU Vienna. Books include Elements of Mind, The Objects of Thought, The Meaning of BeliefVienna, Austriatimcrane.comGoogle Scholar page11 years on TwitterRecent tweets: 10% new, 71% replies, 19% retweets, 0% quotesOn 337 user lists16,832 followers",556
16,16.,"Quassim Cassam@QCassamProfessor  of Philosophy at Warwick University. Immigrant. Latest book: Extremism:  A Philosophical Analysis. Six previous books including Vices of the Mind.Coventry, Englandquassimcassam.com7 years on TwitterRecent tweets: 14% new, 26% replies, 52% retweets, 9% quotesOn 160 user lists8,553 followers",553
17,17.,"justin caouette@JustinCaouettePhilosophy  Prof | PhD @ucalgary | Fall River MA | 1ST GEN | Free Will; Ethics; Blame; Virtue; Moral Responsibility; Metaphysics; Enhancement; Psychology.Massachusetts, USAcssh.northeastern.edu/faculty/justin…Google Scholar page9 years on TwitterRecent tweets: 17% new, 27% replies, 51% retweets, 5% quotesOn 287 user lists7,706 followers",551
18,18.,"Jason Stanley@jasonintratorPhilosophy professor at Yale University. Views my own. Have been known to tweet sarcastically. Speaking: tuesdayagency.com/jason-stanley/New Haven, CTjason-stanley.comGoogle Scholar page8 years on TwitterRecent tweets: 8% new, 76% replies, 15% retweets, 2% quotesOn 1,218 user lists122,549 followers",542
19,19.,"Katie Stockdale@katiestockdaleAssistant Professor of Philosophy @uvic. Author of Hope Under Oppression, @OUPPhilosophy 2021. She/her.Victoria, British Columbiaglobal.oup.com/academic/produ…11 years on TwitterRecent tweets: 22% new, 69% replies, 9% retweets, 1% quotesOn 203 user lists8,080 followers",542
20,20.,"David Papineau@davidpapineauKing's College London. Working on mind, metaphysics, and science.London and New Yorkdavidpapineau.co.ukGoogle Scholar page12 years on TwitterRecent tweets: 14% new, 55% replies, 27% retweets, 4% quotesOn 314 user lists15,340 followers",527
21,21.,"Cedric Paternotte@cedric_pAssistant  Prof. in philosophy of science (@Sorbonne_Univ_). Sociality, cooperation, consensus, diversity + phil. biology & economics. #FilPhiloSciencesParis, Francesites.google.com/site/cedricpat…14 years on TwitterRecent tweets: 10% new, 80% replies, 5% retweets, 4% quotesOn 74 user lists6,798 followers",526
22,22.,"Cecily Whiteley@cecilymwhiteleyPhilosopher  working on consciousness science and psychiatry. PhD-ing @LSEPhilosophy. Soon to be @dartmouth_sof. Depression is more than a low  mood: psyche.coLondon / nyccecilywhiteley.com6 years on TwitterRecent tweets: 2% new, 55% replies, 39% retweets, 4% quotesOn 127 user lists7,951 followers",513
23,23.,"Paul Oppenheimer@peoppenheimerPhilosopher; associate editor, Stanford Encyclopedia of Philosophy; visiting lecturer, University of Adelaide.Adelaide, South Australiapeoppenheimer.orgGoogle Scholar page14 years on TwitterRecent tweets: 100% new, 0% replies, 0% retweets, 0% quotesOn 159 user lists6,884 followers",507
24,24.,"Brian D. Earp, Ph.D.@briandavidearpSenior  Research Fellow @UniofOx; philosophy, cogsci, bioethics, sociology of science+medicine, @bioxphi, sex/gender/equality, body autonomy, children’s rightsNew Haven, CTbrianearp.comGoogle Scholar page10 years on TwitterRecent tweets: 29% new, 10% replies, 55% retweets, 6% quotesOn 672 user lists24,528 followers",505
25,25.,"Keith Frankish@keithfrankishPhilosopher,  writer, Ελληνοβρετανός. Hon Reader @sheffielduni. Mind, consciousness, illusionism, cog-sci, Ελλάδα. Podcast: https://t.co/kyMR0mRBqmHeraklion, Crete, Greecekeithfrankish.comGoogle Scholar page12 years on TwitterRecent tweets: 14% new, 73% replies, 10% retweets, 2% quotesOn 565 user lists21,073 followers",500
26,26.,"Olúfẹ́mi O. Táíwò@OlufemiOTaiwoAssistant  Professor of Philosophy at Georgetown. Author of Reconsidering Reparations and Elite Capture, @cpluscp member. Words in @africasacountry, @Guardian.olufemiotaiwo.comGoogle Scholar page2 years on TwitterRecent tweets: 4% new, 49% replies, 39% retweets, 8% quotesOn 288 user lists42,615 followers",475
27,27.,"Peter Adamson@HistPhilosophyProfessor of Philosophy at the LMU in Munich; hosts podcast about the History of Philosophy... without any gaps.Munichhistoryofphilosophy.net10 years on TwitterRecent tweets: 20% new, 25% replies, 51% retweets, 4% quotesOn 736 user lists34,585 followers",468
28,28.,"Anna Ezekiel@AnnaEzekiel1Historical  women philosophers | German philosophy & literature | translator Karoline von #Günderrode’s #PoeticFragments @SUNYPress @OUPPhilosophy @UoYPhilosophyHong Kongacezekiel.com10 years on TwitterRecent tweets: 61% new, 27% replies, 9% retweets, 2% quotesOn 91 user lists5,310 followers",465
29,29.,"Rebecca Buxton@RebeccaBuxtonLecturer in political theory, Cambridge. she/herCambridge, UK rebeccabuxton.com12 years on TwitterRecent tweets: 22% new, 38% replies, 35% retweets, 6% quotesOn 119 user lists12,229 followers",464
30,30.,"Daniel Dennett@danieldennettI'm an author and philosopher of mind and cognitive scientist @philosophytufts.Tufts Universityase.tufts.edu/cogstud/dennet…Google Scholar page9 years on TwitterRecent tweets: 64% new, 16% replies, 9% retweets, 12% quotesOn 3,739 user lists306,388 followers",463
31,31.,"Aidan McGlynn@AidanMcGlynnGlaswegian philosopher based at the University of Edinburgh. Tweeting in a personal capacity. He/him.Edinburgh, Scotlandaidan.mcglynn.googlepages.com/homeGoogle Scholar page13 years on TwitterRecent tweets: 16% new, 39% replies, 29% retweets, 16% quotesOn 125 user lists7,321 followers",453
32,32.,"Prof Lisa Bortolotti@lisabortolottiItalian  philosopher living in London. Interested in belief, rationality, agency, and mental health. Editor of Philosophical Psychology (@JournalPHP).Londonlisabortolotti.comGoogle Scholar page11 years on TwitterRecent tweets: 11% new, 21% replies, 61% retweets, 7% quotesOn 201 user lists7,879 followers",440
33,33.,"Amia Srinivasan@amiasrinivasanConfirming that all ravens are black, one non-black non-raven at a time.London, Oxfordusers.ox.ac.uk/~corp1468/The_…14 years on TwitterRecent tweets: 9% new, 66% replies, 16% retweets, 9% quotesOn 257 user lists33,375 followers",437
34,34.,"Prof. Catarina Dutilh Novaes 😷 💙@cdutilhnovaesPhilosopher  at @VuPhilosophy Amsterdam & @ArchePhilosophy St. Andrews | PI of ERC-COG project 'Social Epistemology of Argumentation’ @erc_sea (she/her) 🇧🇷🇳🇱Netherlandscdutilhnovaes.comGoogle Scholar page11 years on TwitterRecent tweets: 8% new, 83% replies, 1% retweets, 8% quotesOn 135 user lists6,115 followers",436
35,35.,"Danielle M. Wenner@DanielleWennerAssociate  Professor of Philosophy and Associate Director, Center for Ethics &  Policy @CMU_CEP, Carnegie Mellon University. Okra stan account. (she/her/Dr)Pittsburgh, PAdaniellewenner.comGoogle Scholar page6 years on TwitterRecent tweets: 11% new, 59% replies, 16% retweets, 14% quotesOn 97 user lists5,295 followers",433
36,36.,"Marylin Delgado@philosophypillsAssociate  Researcher. Former Associate Professor of Philosophy. Author. Ethics. Philosophy of Action. Intersection of Epistemology and Ethics. aretea.esmarylindelgado.com9 years on TwitterRecent tweets: 21% new, 35% replies, 37% retweets, 8% quotesOn 210 user lists8,188 followers",432
37,37.,"Jonathan Ichikawa@jichikawaJonathan  Ichikawa. I teach philosophy at UBC. I write about knowledge and related topics (contextualism, rape culture, etc.). he/himVancouver, Canadajichikawa.netGoogle Scholar page13 years on TwitterRecent tweets: 15% new, 77% replies, 3% retweets, 5% quotesOn 196 user lists9,287 followers",427
38,38.,"Jake Wojtowicz@JakeWojtowiczHealthcare DEI researcher. Philosopher of regret, sport, sometimes both. (Tweets represent only my own opinion) Portrait by instagram.com/vanessa.brasseyRochester, NYJakeWojtowicz.comGoogle Scholar page10 years on TwitterRecent tweets: 10% new, 51% replies, 33% retweets, 6% quotesOn 51 user lists3,874 followers",426
39,39.,"Walter Veit@wrwveitPhilosopher, Cognitive Scientist, Writer | Biology, Psychology, Animals, Medicine, Economics, Politics, and Ethics | Partner: @zoophilosophy | walterveit.comUK; USA; Australia; Germanyfacebook.com/WalterVeitOffi…5 years on TwitterRecent tweets: 15% new, 13% replies, 70% retweets, 2% quotesOn 133 user lists13,461 followers",425
40,40.,"Rachel Handley 🏳️‍🌈@_RachelHandleyTeaching  Fellow @TCDphilosophy, poet, SF writer. Short story collection: Possible Worlds and Other Stories (Sept 2022, @ellipsisimprint) #bivisibility they/sheDublin, Irelandlinktr.ee/_rachelhandley11 years on TwitterRecent tweets: 15% new, 65% replies, 15% retweets, 4% quotesOn 89 user lists6,651 followers",421
41,41.,"Ray Monk@RaymodracoEmeritus Professor of Philosophy, biographer, evangelical vegan and eco-warrior. Also on Facebook and Instagram.Southampton, UK13 years on TwitterRecent tweets: 51% new, 27% replies, 19% retweets, 3% quotesOn 192 user lists10,829 followers",418
42,42.,"B@NeuroYogacaraA  heterarchical network that integrates coffee, metal, horror, Buddhist philosophy, and theoretical neurobiology. Grumpy GenXer; he/his is fine,  b/b's is betterNacotchtank & Piscataway landbrycehuebner.weebly.comGoogle Scholar page12 years on TwitterRecent tweets: 11% new, 85% replies, 2% retweets, 3% quotesOn 173 user lists8,376 followers",417
43,43.,"Laura D'Olimpio@Lauradol4Philosopher  interested in aesthetics, ethics & education. Associate professor of philosophy of education @unibirmingham Co-editor @JournalP4CUniversity of Birminghambirmingham.ac.uk/staff/profiles…Google Scholar page9 years on TwitterRecent tweets: 31% new, 33% replies, 31% retweets, 4% quotesOn 208 user lists4,895 followers",415
44,44.,"Eric Schwitzgebel@eschwitzProfessor of Philosophy, UC RiversideRiverside, CAfaculty.ucr.edu/~eschwitz/Google Scholar page7 years on TwitterRecent tweets: 26% new, 63% replies, 3% retweets, 8% quotesOn 105 user lists4,623 followers",413
45,45.,"Bryan W. Van Norden@BryanVanNordenLeading scholar of Confucianism, Daoism, and Buddhism; opinions my own; retweets are not endorsements. he/hisPoughkeepsie, NYbryanvannorden.com8 years on TwitterRecent tweets: 9% new, 45% replies, 37% retweets, 9% quotesOn 207 user lists8,750 followers",412
46,46.,"josh habgood-coote@impractknowphilosopher at University of Leeds | know-how, social epistemology, philosophy of technology | He/him | 🌳🏔🌳🏃🏼‍♂️Bristol, U.K. joshuahabgoodcoote.comGoogle Scholar page10 years on TwitterRecent tweets: 14% new, 65% replies, 15% retweets, 6% quotesOn 54 user lists3,344 followers",410
47,47.,"Sarah Wieten@SarahWietenphilosopher of medicine, clinical ethicist, pedagogy enthusiast, plant lady 'pretty decent at puns' She/HerDurham, Englandscholar.google.com/citations?hl=e…Google Scholar page9 years on TwitterRecent tweets: 20% new, 65% replies, 11% retweets, 4% quotesOn 50 user lists4,243 followers",408
48,48.,"Rima Basu@_rimabasuPhilosopher. Ethics. Epistemology. Race. In my expert opinion everything is terrible (except dogs).Claremont, CArimabasu.comGoogle Scholar page12 years on TwitterRecent tweets: 29% new, 30% replies, 41% retweets, 1% quotesOn 33 user lists3,560 followers",407
49,49.,"Emily Herring@EtheHerringWriting  a book about Henri Bergson for @BasicBooks - editor & writer for hire - also tweeting from @AmisDeBergson - Radiohead cured my chronic anxiety - she/herParis, Francewellreadherring.com10 years on TwitterRecent tweets: 20% new, 43% replies, 27% retweets, 10% quotesOn 113 user lists12,956 followers",404
50,50.,"David Spurrett@DoctorSpurtPhilosopher  @ukzn working on evolution of action-selection & decision-making. Keen to avert climate catastrophe. Banner picture from North Beach. he/him.Durban, South Africaphilpeople.org/profiles/david…Google Scholar page9 years on TwitterRecent tweets: 6% new, 77% replies, 9% retweets, 7% quotesOn 58 user lists2,958 followers",404
51,51.,"Peter Singer@PeterSingerAuthor: Ethics in the Real World, The Most Good You Can Do, Animal Liberation, The Life You Can Save, @lifeyoucansave, thelifeyoucansave.orgPrinceton Universitypetersinger.info13 years on TwitterRecent tweets: 68% new, 6% replies, 13% retweets, 12% quotesOn 2,312 user lists116,152 followers",402
52,52.,"Jamie@euthyphronot a philosopher. (she/her) 🌹9 years on TwitterRecent tweets: 14% new, 50% replies, 31% retweets, 5% quotesOn 64 user lists6,897 followers",401
53,53.,"Kevin J.S. Zollman@KevinZollmanPhilosophy  and Game Theory at Carnegie Mellon 🦚 Research the interface between philosophy, economics, and biology 💱 Book: Game theorist's guide to parentingPittsburgh, PAkevinzollman.comGoogle Scholar page7 years on TwitterRecent tweets: 5% new, 61% replies, 23% retweets, 12% quotesOn 104 user lists7,702 followers",400
54,54.,"Kevin M@BayouPhilosophyPhilosophy  + pets + fishing. Author of Physicalism Deconstructed (2018), Elementary Symbolic Logic (2021). Let's be kind. Got a thing for @Molly_Brook_.NOLA/Bostonsites.google.com/site/kevinmorr…7 years on TwitterRecent tweets: 16% new, 74% replies, 11% retweets, 0% quotesOn 71 user lists7,865 followers",397
55,55.,"rebecca roache@rebecca_roachePhilosophical rent-a-gob. Podcasting over at @AcademicImp. She/her or they/them.Oxford | Hwlfforddacademicimperfectionist.comGoogle Scholar page11 years on TwitterRecent tweets: 22% new, 55% replies, 20% retweets, 3% quotesOn 215 user lists6,800 followers",395
56,56.,"Mel Andrews@bayesianboyPhD  student in philosophy of science, ML, cognitive science, biology. Organisms, evolution, cognition, complexity, AI & ALife, models, the  FEP.Tower of BabelGoogle Scholar page2 years on TwitterRecent tweets: 16% new, 71% replies, 10% retweets, 4% quotesOn 132 user lists11,198 followers (follows 0.51 accounts per follower)",394
57,57.,"Stephen Mumford@SDMumfordJoyscrolling philosopher. He/him. 🏳️‍⚧️ Walking the Pennine Way for Samaritans. Please donate: https://t.co/SRKj7kWkMlBramall Lanesites.google.com/site/stephendm…Google Scholar page12 years on TwitterRecent tweets: 8% new, 55% replies, 31% retweets, 6% quotesOn 295 user lists9,640 followers",392
58,58.,"Audrey Yap@audreyseokheanAssociate  Prof in Philosophy at UVic, but always on the verge of running away to join the circus. In favour of dogs, feminism, coffee, martial arts. she/her.8 years on TwitterRecent tweets: 16% new, 73% replies, 7% retweets, 4% quotesOn 45 user lists4,115 followers",392
59,59.,"Carrie Jenkins@carriejenkins🔮Philosophy's  crazy ex-girlfriend. Author of Sad Love and Victoria Sees It. Landscape  painter on unceded land. Cymraeg. She/they/ddraig 🏳️‍🌈 🏴󠁧󠁢󠁷󠁬󠁳󠁿carriejenkins.netGoogle Scholar page13 years on TwitterRecent tweets: 18% new, 43% replies, 32% retweets, 8% quotesOn 291 user lists7,439 followers",389
60,60.,"Patricia Churchland@patchurchlandI  am a neurophilosopher, so work at the interface of philosophy, neuroscience & psychology. On questions like where do values come from, what is self & awarene?San Diego (UCSD)patriciachurchland.com11 years on TwitterRecent tweets: 18% new, 11% replies, 65% retweets, 6% quotesOn 609 user lists21,459 followers",386
61,61.,"Sergio Tenenbaum@sergiotenToronto-Brazilian-Jewish  Philosopher with strong Kantian leanings. Tweets mostly about stuff. Opinions expressed here are correct.Toronto, Ontariosergiotenenbaum.org13 years on TwitterRecent tweets: 13% new, 81% replies, 1% retweets, 6% quotesOn 39 user lists3,426 followers",384
62,62.,"Philip Goff@Philip_GoffAssociate  Professor of Philosophy, author of 'Galileo's Error' & co-host of 'Mind Chat.' I research consciousness. Panpsychist, socialist, practicing agnostic.Durham, Englandphilipgoffphilosophy.com11 years on TwitterRecent tweets: 5% new, 77% replies, 10% retweets, 8% quotesOn 258 user lists17,551 followers",379
63,63.,"Martin Kusch@MartinKuschI  am a philosopher. I also dabble in music (piano, singing, concert-going), chess, and photography (on walks across town and in the countryside).Vienna, Austriamartinkusch.wixsite.com/websiteGoogle Scholar page12 years on TwitterRecent tweets: 56% new, 43% replies, 0% retweets, 1% quotesOn 59 user lists5,498 followers",379
64,64.,"Daniel Callcut@danielcallcutPhilosopher and writer. Articles for @prospect_uk @Aeonmag @ArtsPro @psyche_the_magStamford, Lincsdanielcallcut.comGoogle Scholar page8 years on TwitterRecent tweets: 22% new, 40% replies, 37% retweets, 1% quotesOn 40 user lists3,982 followers",377
65,65.,"Krista K. Thomason@kkthomasonPhilosophy  prof at Swarthmore. Fellow at the National Humanities Center 21-22. Author of Naked: The Dark Side of Shame and Moral Life. Metal chick. First-gen.Swarthmore, PAkristakthomason.weebly.comGoogle Scholar page7 years on TwitterRecent tweets: 18% new, 32% replies, 40% retweets, 10% quotesOn 62 user lists3,136 followers",373
66,66.,"Maarten Steenhagen@msteenhagenI'm a philosopher and writer. Currently @uppsalauni, formerly @Cambridge_Uni. Mastodon: @msteenhagen@provo.lol (he/they) #WearAMaskUppsalamsteenhagen.github.ioGoogle Scholar pageVideo channel12 years on TwitterRecent tweets: 10% new, 65% replies, 18% retweets, 7% quotesOn 156 user lists4,483 followers",371
67,67.,"Elizabeth Picciuto@epicciutoWriter, editor, mom of three—one with Cri du Chat Syndrome. Philosophy PhD. Fan of gardens. ✡️ Rooted cosmopolitan. #3A!Extremely Long Island13 years on TwitterRecent tweets: 5% new, 68% replies, 19% retweets, 8% quotesOn 257 user lists16,513 followers",370
68,68.,"Natalie Alana Ashton@Natalanphilosopher working on knowledge, oppression & social media @stiruniphil. good politics. ''nervous but brave''. she/her.Sheffield, Englandnataliealanaashton.notion.site12 years on TwitterRecent tweets: 5% new, 59% replies, 21% retweets, 15% quotesOn 79 user lists4,641 followers",370
69,69.,"Logical Analysis@LogicalAnalysis|  Metaphysics, Philosophy of Physics, Philosophy of Math, Logic | Bertrand Russell's Philosophy of Science | Abstract Landscapes | from: 🇲🇽Northampton, MAGoogle Scholar page12 years on TwitterRecent tweets: 2% new, 40% replies, 53% retweets, 4% quotesOn 473 user lists12,546 followers (follows 0.69 accounts per follower)",367
70,70.,"Katrina Sifferd@KSifferdPhilosopher  @elmhurstu interested in criminal law, the mind, responsibility, and punishment. Proud Chicagoan. Lapsed lawyer. Co Ed-in-Chief of @NeuroethicsJ.Chicago, ILpleasandexcuses.netGoogle Scholar page9 years on TwitterRecent tweets: 30% new, 33% replies, 27% retweets, 10% quotesOn 109 user lists3,697 followers",366
71,71.,"Dr Heather Browning@zoophilosophyScientist  & Philosopher | Former zookeeper and welfare officer, now researcher at LSE specialising in animal sentience, welfare, and ethics |  Partner @wrwveitLondon; Sydney; Canberraheatherbrowning.netGoogle Scholar page2 years on TwitterRecent tweets: 18% new, 38% replies, 41% retweets, 3% quotesOn 60 user lists8,646 followers",365
72,72.,"Norbert Wiener Kreis@carl_b_sachsPragmatism  · cybernetics · critical theory · sci-fi. Author of 'Intentionality and  the Myths of the Given' @RoutledgeBooks. he/him/hisAnnandale, VAmarymount.academia.edu/CarlSachsGoogle Scholar page8 years on TwitterRecent tweets: 10% new, 87% replies, 1% retweets, 2% quotesOn 98 user lists9,656 followers",364
73,73.,"Cailin O'Connor@cailinmeisterPhilosopher  and applied mathematician at UCI. Author of 'The Misinformation Age' and 'The Origins of Unfairness'. My Erdos-Bacon number is 7. she/herIrvine, CAcailinoconnor.comGoogle Scholar page4 years on TwitterRecent tweets: 19% new, 63% replies, 15% retweets, 3% quotesOn 119 user lists6,777 followers",363
74,74.,"Michael Bench-Capon@MikeBenchCaponI have a PhD in philosophy. Now I work in a library. He/him.Leeds, UKmichaelbenchcapon.blogspot.com10 years on TwitterRecent tweets: 12% new, 55% replies, 31% retweets, 4% quotesOn 90 user lists7,154 followers",362
75,75.,"Dr. Rebecca Bamford@RebeccaBamfordPhilosopher. Ailurophile. Alien. Occasionally cat furniture. Book: bit.ly/39XmsnL Edited book: bit.ly/3onVSN7 She/her. Views individual.Belfast, Northern Irelandrebeccabamford.comGoogle Scholar page12 years on TwitterRecent tweets: 32% new, 30% replies, 33% retweets, 5% quotesOn 115 user lists3,561 followers",362
76,76.,"Samuel@KimptonNyeResearch  Associate on the @MetaScienceEU project at the University of Bristol. I  work on metaphysics and the philosophy of science. Views are from nowhere.samuelkimpton-nye.com10 years on TwitterRecent tweets: 22% new, 47% replies, 29% retweets, 4% quotesOn 84 user lists3,402 followers",362
77,77.,"Daniel J. Brunson@danieljbrunsonAssistant Professor @MorganPhilRel. (dis)ability, community, memory, neuro-X, pragmatism, risk, technology. He/they.9 years on TwitterRecent tweets: 13% new, 14% replies, 71% retweets, 2% quotesOn 200 user lists3,005 followers",362
78,78.,"Agnes Callard@AgnesCallardPhilosopher, UChicago Book: is.gd/Ze88Za Column: is.gd/WHyOeh NYT: is.gd/UonlHb youtube: is.gd/kKW7Hd podcast: mindsalmostmeeting.comphilosophy.uchicago.edu/faculty/a-call…4 years on TwitterRecent tweets: 14% new, 69% replies, 8% retweets, 10% quotesOn 371 user lists27,763 followers",360
79,79.,"Barry C Smith@smithbarrycProfessor  of Philosophy, Director of the Institute of Philosophy, at School of Advanced Study, University of London: Also wine, senses. Political views  my own.Londonphilosophy.sas.ac.uk12 years on TwitterRecent tweets: 6% new, 29% replies, 45% retweets, 20% quotesOn 253 user lists9,128 followers",360
80,80.,"worms cited@christapetersoPhilosophy PhD student. very powerful. love birds (she/her) 🥤🍉😌11 years on TwitterRecent tweets: 8% new, 57% replies, 26% retweets, 9% quotesOn 234 user lists44,199 followers",358
81,81.,"Bence Nanay@BenceNanayProfessor of Philosophy at Antwerp and Cambridge, journalist, authorCambridge, Englandbencenanay.comGoogle Scholar page5 years on TwitterRecent tweets: 94% new, 6% replies, 0% retweets, 0% quotesOn 218 user lists53,958 followers",357
82,82.,"Kwame Anthony Appiah@KAnthonyAppiahb.  London. raised Kumasi, Ghana. m. Henry Finder. Prof NYU. Ethicist NYTimes. Write about ethics, African, African American Studies. Retweeting not endorsement.New York/Princetonappiah.netGoogle Scholar page11 years on TwitterRecent tweets: 16% new, 31% replies, 41% retweets, 12% quotesOn 383 user lists21,786 followers",353
83,83.,"The Philosophers' Cocoon / Marcus Arvan@marcusarvanA safe & supportive blog for early-career philosophers, Philosophy Professor, Moral and Political Theorist; He/him philosopherscocoon.typepad.com/blog/marcusarvan.netGoogle Scholar page8 years on TwitterRecent tweets: 64% new, 27% replies, 8% retweets, 0% quotesOn 34 user lists2,398 followers",353
84,84.,"Duncan Pritchard@EpistemicAngstEpistemologist at UC Irvine. Latest book: Scepticism: A Very Short Introduction (Oxford UP).SoCalduncanpritchard.orgGoogle Scholar page9 years on TwitterRecent tweets: 32% new, 3% replies, 59% retweets, 6% quotesOn 73 user lists2,706 followers",351
85,85.,"Regina Rini@riniregCanada Research Chair in Philosophy @yorkuniversity 'Morals of the Story' columnist @TheTLS words: @nytimes @latimes @aeonmag new book: bit.ly/3ow58fEToronto, Ontario3 years on TwitterRecent tweets: 10% new, 52% replies, 19% retweets, 18% quotesOn 89 user lists5,269 followers",350
86,86.,"Brian Weatherson@bweathersonPhilosopher. Editor of @PhilosophersIm1. Author of Normative Externalism (OUP, 2019). Buy it at bit.ly/NE-OUP.Ann Arborbrian.weatherson.orgGoogle Scholar page13 years on TwitterRecent tweets: 7% new, 55% replies, 29% retweets, 9% quotesOn 88 user lists3,684 followers",350
87,87.,"Massimo Pigliucci@mpigliucciProf.  of Philosophy at City College (NY), evolutionary biologist, practicing philosophy as a way of life. As Monty Python would say, not dead yet.New York City & Romaphilosophyasawayoflife.blogGoogle Scholar pageVideo channelPatreon page12 years on TwitterRecent tweets: 44% new, 35% replies, 19% retweets, 3% quotesOn 1,301 user lists48,178 followers",348
