School,Country,Total % Women 2019,Total # Women 2019,Total # 2019,% TT Women 2019,# TT Women 2019,Total # TT 2019,Total Full 2019,Full NB,# Full Women 2019,% Full Women 2019,Total Assoc 2019,Associate NB,# Assoc Women 2019,% Assoc Women  2019,Total Assist 2019,Assistant NB,# Assist Women 2019,% Assist Women 2019,Total Visit 2019,Visit NB,# Visit  Women 2019,% Visit Women  2019,Total Emer 2019,Emer NB,# Emer Woman 2019,%  Emer  Women  2019,Total Adj 2019,Adj NB,# Adj Women 2019,% Adj Women  2019,Total Lect 2019,Lect NB,# Lect Women 2019,% Lect Women  2019,Total total,Women total,Uncounted faculty,,
Temple University,United States,35.71%,5,14,35.71%,5,14,7,,2,28.57%,2,,2,100.00%,5,,1,20.00%,0,,0,#DIV/0!,3,,1,33.33%,0,,0,#DIV/0!,0,,0,#DIV/0!,17,6,,,
Texas A&M University,United States,21.74%,5,23,21.74%,5,23,13,,4,30.77%,5,,1,20.00%,5,,0,0.00%,0,,0,#DIV/0!,3,,0,0.00%,0,,0,#DIV/0!,0,,0,#DIV/0!,26,5,,,
Tulane University,United States,16.67%,3,18,23.08%,3,13,5,,1,20.00%,4,,1,25.00%,4,,1,25.00%,2,,0,0.00%,3,,0,0.00%,0,,0,#DIV/0!,3,,0,0.00%,21,3,,,
UC Santa Cruz,United States,30.77%,4,13,20.00%,2,10,1,,0,0.00%,7,,1,14.29%,2,,1,50.00%,0,,0,#DIV/0!,6,,1,16.67%,0,,0,#DIV/0!,3,,2,66.67%,19,5,,,
University of Arkansas,United States,16.67%,3,18,0.00%,0,8,4,,0,0.00%,3,,0,0.00%,1,,0,0.00%,2,,1,50.00%,0,,0,#DIV/0!,0,,0,#DIV/0!,8,,2,25.00%,18,3,,,
University of Cincinnati,United States,21.43%,3,14,27.27%,3,11,6,,1,16.67%,5,,2,40.00%,0,,0,#DIV/0!,0,,0,#DIV/0!,8,,1,12.50%,3,,0,0.00%,0,,0,#DIV/0!,22,4,,,
University of Dallas,United States,10.53%,2,19,8.33%,1,12,6,,0,0.00%,6,,1,16.67%,0,,0,#DIV/0!,0,,0,#DIV/0!,0,,0,#DIV/0!,7,,1,14.29%,0,,0,#DIV/0!,19,2,,,
University of Florida,United States,33.33%,6,18,25.00%,3,12,3,,0,0.00%,5,,1,20.00%,4,,2,50.00%,0,,0,#DIV/0!,2,,0,0.00%,3,,2,66.67%,3,,1,33.33%,20,6,,,
University of Georgia,United States,40.00%,6,15,38.46%,5,13,6,,2,33.33%,6,,3,50.00%,1,,0,0.00%,0,,0,#DIV/0!,8,,0,0.00%,0,,0,#DIV/0!,2,,1,50.00%,23,6,,,
University of Hawaii-Manoa,United States,28.57%,4,14,20.00%,2,10,7,,2,28.57%,2,,0,0.00%,1,,0,0.00%,0,,0,#DIV/0!,5,,1,20.00%,0,,0,#DIV/0!,4,,2,50.00%,19,5,,,
"University of Illinois, Champaign-Urbana",United States,14.29%,2,14,15.38%,2,13,0,,0,#DIV/0!,5,,2,40.00%,8,,0,0.00%,0,,0,#DIV/0!,12,,0,0.00%,0,,0,#DIV/0!,1,,0,0.00%,26,2,,,
University of Iowa,United States,38.10%,8,21,50.00%,6,12,7,,2,28.57%,5,,4,80.00%,0,,0,#DIV/0!,5,,1,20.00%,3,,0,0.00%,3,,1,33.33%,1,,0,0.00%,24,8,,,
University of Kansas,United States,33.33%,5,15,28.57%,4,14,6,,1,16.67%,7,,3,42.86%,1,,0,0.00%,0,,0,#DIV/0!,5,,0,0.00%,0,,0,#DIV/0!,1,,1,100.00%,20,5,,,
University of Kentucky,United States,47.06%,8,17,43.75%,7,16,6,,1,16.67%,6,,3,50.00%,4,,3,75.00%,1,,1,100.00%,7,,0,0.00%,0,,0,#DIV/0!,0,,0,#DIV/0!,24,8,,,
University of Memphis,United States,36.36%,8,22,27.27%,3,11,4,,2,50.00%,4,,0,0.00%,3,,1,33.33%,5,,4,80.00%,6,,2,33.33%,2,,1,50.00%,4,,0,0.00%,28,10,,,
University of Nebraska,United States,23.08%,3,13,16.67%,2,12,8,,1,12.50%,4,,1,25.00%,0,,0,#DIV/0!,0,,0,#DIV/0!,1,,0,0.00%,0,,0,#DIV/0!,1,,1,100.00%,14,3,,,
University of New Mexico,United States,37.50%,6,16,36.36%,4,11,7,,2,28.57%,3,,2,66.67%,1,,0,0.00%,0,,0,#DIV/0!,6,,0,0.00%,2,,1,50.00%,3,,1,33.33%,22,6,,,
University of Oklahoma,United States,20.00%,3,15,21.43%,3,14,9,,3,33.33%,4,,0,0.00%,1,,0,0.00%,1,,0,0.00%,5,,1,20.00%,0,,0,#DIV/0!,0,,0,#DIV/0!,20,4,,,
University of Oregon,United States,47.37%,9,19,50.00%,6,12,5,,4,80.00%,3,,0,0.00%,4,,2,50.00%,0,,0,#DIV/0!,3,,1,33.33%,1,,0,0.00%,6,,3,50.00%,22,10,,,
University of South Carolina,United States,33.33%,8,24,37.50%,6,16,8,,1,12.50%,4,,2,50.00%,4,,3,75.00%,0,,0,#DIV/0!,5,,0,0.00%,4,,2,50.00%,4,,0,0.00%,29,8,,,
University of South Florida,United States,20.00%,5,25,22.22%,4,18,10,,1,10.00%,7,,2,28.57%,1,,1,100.00%,3,,0,0.00%,7,,1,14.29%,3,,0,0.00%,1,,1,100.00%,32,6,,,
University of Tennessee-Knoxville,United States,28.57%,8,28,36.36%,4,11,4,,1,25.00%,5,,1,20.00%,2,,2,100.00%,0,,0,#DIV/0!,4,,0,0.00%,3,,1,33.33%,14,,3,21.43%,32,8,,,
University of Utah,United States,43.48%,10,23,50.00%,9,18,7,,4,57.14%,7,,2,28.57%,4,,3,75.00%,0,,0,#DIV/0!,5,,0,0.00%,0,,0,#DIV/0!,5,,1,20.00%,28,10,,,
University of Washington,United States,36.36%,8,22,41.67%,5,12,5,,2,40.00%,4,,2,50.00%,3,,1,33.33%,2,,1,50.00%,13,,3,23.08%,3,,1,33.33%,5,,1,20.00%,35,11,,,
Vanderbilt University,United States,25.00%,4,16,28.57%,4,14,8,,1,12.50%,2,,1,50.00%,4,,2,50.00%,0,,0,#DIV/0!,7,,1,14.29%,0,,0,#DIV/0!,2,,0,0.00%,23,5,,,
Villanova University,United States,22.22%,4,18,25.00%,4,16,7,,2,28.57%,4,,1,25.00%,5,,1,20.00%,1,,0,0.00%,7,,0,0.00%,0,,0,#DIV/0!,1,,0,0.00%,25,4,,,
Wayne State University,United States,17.39%,4,23,33.33%,3,9,3,,0,0.00%,5,,3,60.00%,1,,0,0.00%,0,,0,#DIV/0!,1,,0,0.00%,12,,1,8.33%,2,,0,0.00%,24,4,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
