concept,author,time
Language and Literature,Marie le Jars de Gournay,1665–1645
Language,Anne Le Fèvre Dacier,1647–1720
Law of Significant Assertion,Emily Elizabeth Constance Jones,1848–1922
Lebensphilosophie,Lou Andreas-Salomé,1861–1937
Liberated Woman,Lou Andreas-Salomé,1861–1937
Liberty,Anne Sophie Swetchine,1782–1857
Life,Karoline Von Günderrode,1780–1806
Literature,Anne Le Fèvre Dacier,1647–1720
Love / Religious Faith (Nature of),Mary Astell,1666–1731
Love,Karoline Von Günderrode,1780–1806
Love,Catherine of Siena,1347–1380
Love,Diotima of Mantinea,ca. 440 B.C.E.
Love,Héloïse,1101–1164
Love,Jeanne-Marie Bouvier de la Motte Guyon,1648–1717
Love,"Madeleine de Souvré, marquise de Sablé",1599–1678
Love,Murasaki Shikibu,ca. 973–ca. 1020
Love,Simone de Beauvoir,1908–1986
Marriage,Anna Doyle Wheeler,1785–1848
Marriage,Harriet Taylor Mill,1807–1858
Marriage,Héloïse,1090–1164
Mathematics,Simone Weil,1909-1943
Mind-Body Problem,Mary Astell,1666–1731
Mind-body Identity,Antoinette Brown Blackwell,1825–1921
Misandry,Helene Druskowitz,1856–1918
Misogyny,Anne Sophie Swetchine,1782–1857
Modesty,Ban Zhao,5–ca. 116 CE
Monastic Life and Public Display,Héloïse,1090–1164
Morality and Religion,Frances Power Cobbe,1822–1904
Motherhood,Simone de Beauvoir,1908–1986
Music and Memory,Vernon Lee (Violet Paget),1856–1935
Natural Equality of Sexes,Antoinette Brown Blackwell,1825–1921
Natural Goodness,Philippa Foot,1920–2010
Natural Law Theory,Aesara of Lucania,4th or 3rd century BC
Natural Religion,Antoinette Brown Blackwell,1825–1921
Nature,Anne Sophie Swetchine,1782–1857
Nature,Antoinette du Ligier de la Garde, Mme Deshoulières,1638–1694
Ontology of Social Life,Edith Stein,1891–1942
Otherness,Simone de Beauvoir,1908-1986
Pacifism,Vernon Lee (Violet Paget),1856–1935
Pain,Sophie de Grouchy,1764–1822
Participatory Democracy,Mercy Otis Warren,1727–1814
Passions,"Christina Wasa, Queen of Sweden",1626–1689
Passions,"Marguerite Hessein, Mme de La Sablière",1640–1693
Perception and Certainty,Mary Astell,1666–1731
Perfectibility,Anne Conway,1631–1679
Education (Philosophy of),Mme de Maintenon,1635–1719
Medicine (Philosophy of),Aesara of Lucania,4th or 3rd century BC
Religion (Philosophy of),"Marie de Rabutin-Chantal, Marquise de Sévigné",1626–1696
Pleasure,Sophie de Grouchy,1764–1822
Politeness,Anne Sophie Swetchine,1782–1857
Political Liberty,Jeanne Hersch,1910–2000
Potted thinking,Susan Stebbing,1885–1943
Pragmatism,Jane Addams,1860–1935
Progress,Anne Sophie Swetchine,1782–1857
Propriety,Ban Zhao,5–ca. 116 CE
Proximity Epistemology,Jane Addams,1860–1935
Puritanism,Anne Bradstreet,1612–1672
Religious Freedom,Frances (Fanny) Wright,1795–1852
Reality,Jeanne Hersch,1910–2000
Reason,Marguerite Porete,1250/60–1310
Religion,Madeleine de Scudéry,1607–1701
Religious Epistemology of Agnès Arnauld,,1593–1671
Religious Faith,Edith Stein,1891–1942
Religious Freedom,Ednah Dow Cheney,1824–1904
Religious Knowledge,Agnès Arnauld,1593–1671
Religious Knowledge,"Marguerite Hessein, Mme de La Sablière",1640–1693
Religious Truth,Antoinette Brown Blackwell,1825–1921
Republicanism,Mercy Otis Warren,1727–1814
Responsible Freedom,Jeanne Hersch,1910–2000
Revelation,Antoinette Brown Blackwell,1825–1921
Revolution,Mary Wollstonecraft,1759–1797
Scientism,Mary Midgley,1919–2018
Sagehood,Im Yunjidang 임윤지당 任允摯堂,1721-1793
Salvation Faith,Edith Stein,1891–1942
Self-Interest,Ayn Rand,1905–1982
Self,Edith Stein,1891–1942
Sexuo-economics,Charlotte Perkins Gilman,1860–1935
Sexuality,Murasaki Shikibu,ca. 973–ca. 1020
Slavery / Abolitionism,Ednah Dow Cheney,1824–1904
Slavery,Frances (Fanny) Wright,1795–1852
Social responsibility of individuals,Jane Addams,1860–1935
Social Progress,Jane Addams,1860–1935
Soul,Aesara of Lucania,4th or 3rd century BC
Soul,Diotima of Mantinea,ca. 440 B.C.E.
Soul,Edith Stein,1891–1942
States’ Rights,Mercy Otis Warren,1727–1814
Substance,Anne Conway,1631–1679
